"id","nome","descricao","valor","imagem","tipo"
"1","Filé à parmegiana","Filé mignon empanado, purê de batata, molho de tomate,mussarela e arroz","40","Parmegiana.jpg","Individual"
"2","Filé à francesa","Filé mignon, guarnição à francesa, cebola dorê e arroz","56","File-francesa.jpg","Individual"
"4","Medalhão","Filé mignon, bacon, arroz e batata frita.","56","Medalhão.jpg","Individual"
"5","Tornêdor","Bife alto, batata frita, molho madeira e arroz","61","Tornedor.png","Individual"
"6","Frango ao requeijão","Frango ao requeijão, batata palha e arroz","68","Frango-ao-requeijão.jpg","Individual"
"7","Batata frita (meia)","150g","20","Batata.jpg","Porção"
"8","Filé à palito (meia)","250g","44","File-palito.jpg","Porção"
"9","Filé de peixe (meia)","125g de aruanã","39","File-de-peixe.jpg","Porção"
"10","Frango romano (meia)","6 unidades","20","Romano.jpg","Porção"
"11","Lagoa azul","Vodka, curaçau blue, soda, limão espremido","20","Lagoa-azul.jpg","Bebida"
"12","Cuba libre","Bacardi, limão picado e coca-cola","16","Cuba-libre.jpg","Bebida"
"13","Piña colada","Abacaxi, leite, rum, leite de coco, açúcar e chocolate no enfeite","20","Pina-colada.jpg","Bebida"
"14","Sex on the beach","Licor de pêssego, suco de laranja e cranberry","20","Sex-on-the-beach.jpg","Bebida"
"15","Filé a piamontesa","Filé mignon, batata frita e arroz a piamontesa","56","File-piamontesa.jpg","Individual"
